words,sentiment_coeff
top_doctor,-88.10757042541177
treated,-104.31687059687667
food_supply,-94.81325026435262
chain,-93.79679137519211
260,-83.6248154373871
words,-98.31916520965673
self,-82.29045679702455
race,-86.23760463006587
personal_protective,-80.17313553319087
equipment,-90.23691067880559
oxford_group,-9.38761600913492
supply_chain,-54.77523380940543
breaking,-96.29775496776787
children,-111.04777209565039
ahead,-100.57447925624129
doctor_treated,-28.6084325521372
oxford,-92.68423061705461
returns,-69.45373845219139
test_kits,-48.98594643020458
press_conference,0.9984729232373871
si,-108.01090314037558
origen,0.9983244975143482
monday,-100.29053827663773
cancels,-98.7447527794995
alert,-74.48556852092094
crowded,-108.61703871519697
seen,-91.68707056413929
shaken,-70.6654428844507
modi,-95.78862001641878
falsely,-103.9459464487498
accused,-104.58822634673584
starting,-116.28805403289108
great_depression,-63.21336495067621
life,-109.50588045559287
protection,-117.89944640531644
program,-109.54117734558417
top,-108.93930348304154
moment,-93.533013968883
rapid,-79.93549693941424
deadly,-108.20684672389976
bmz_bund,1.00000208302108
pasien,-32.872540434879504
beyond,-107.18581012758963
role,-104.45133266239449
extreme_poverty,-63.69237188699202
protect,-87.20308607007175
highest_unemployment,-63.49194221285049
golf,-88.84677485410727
economy_crash,-71.16620026930416
team_sent,-81.69175449899079
ppe,-91.15029821995101
china_jan,-78.18891860380374
feb,-91.09107445799802
near_times,-28.61064133200131
golf_times,-72.71419925213338
rallies,-89.23383626389185
crash_highest,-10.885010630342133
incompetence_caused,-81.93370501844437
ppe_china,-78.95466633944257
jan,-80.84219276199735
times_rallies,-31.00673535340161
plus,-95.22532809735456
early,-109.08759499745527
weeks,-101.14124464073193
workers,-101.72446244589156
physicians,-45.850671932706675
healthcare_workers,-19.043754989230884
personal,-98.05013767634247
front_line,-49.53846201078407
tyson,-99.45362739957415
spoke_would,-71.14985669399442
happen,-80.22761394059927
unfold,-73.46226332542824
prime_minister,-43.46553633030648
boris,-76.48179790335072
become_economy,-68.17758415855504
minister,-72.72597679654535
democratic,-100.76757471709486
read,-94.8348506392306
higher_reported,-46.63613154573797
mundial,-108.54245805568283
ex,-93.71004615158799
secretario,-92.74437137124913
193,-83.5677794507754
guerra,1.000664414050076
mentir,0.9970442458436198
dong,-104.87591489524446
ren,-130.5811954038784
guerra_mundial,-3.742632766591833
job,-92.86957417531033
killed,-102.84641062041698
become_society,-66.0025904380261
suicide,-80.4226283992004
attributed,-90.10180183949696
million,-92.34879228335814
impacted,-73.44321965786729
dr,-109.67832634052992
play,-105.9449848409791
major,-116.21665994664077
france,-95.53732496966411
chinese_communist,-57.333438667406234
party,-116.94564132365817
started,-80.13822912512595
market,-93.05549087284629
investigar_origen,1.0028178910942962
mari_kita,-93.85152023412228
dukung,-103.96642301595026
kamtibmas,-90.15364215694302
