AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,date,period,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
45-64,10636.73,2091.84,437.73999999999995,12-15-2020,21,107777.0,21128.0,4410.0
65-74,4835.18,1935.6,678.91,12-15-2020,21,34755.0,13913.0,4880.0
75+,5415.68,3124.05,1734.48,12-15-2020,21,30415.0,17545.0,9741.0
Citywide,3976.3,774.76,237.48,12-15-2020,21,331497.0,64590.0,19798.0
0-17,3877.73,162.11,,12-16-2020,21,21044.0,848.0,
18-44,12319.65,973.5699999999999,64.02,12-16-2020,21,138412.0,11199.0,751.0
45-64,10702.57,2101.16,438.44,12-16-2020,21,108444.0,21222.0,4417.0
65-74,4864.39,1943.95,680.17,12-16-2020,21,34965.0,13973.0,4889.0
75+,5453.07,3139.9,1739.82,12-16-2020,21,30625.0,17634.0,9771.0
Citywide,4006.66,778.23,238.03,12-16-2020,21,334028.0,64880.0,19844.0
0-17,3927.8100000000004,163.01999999999998,,12-17-2020,21,21328.0,853.0,
18-44,12426.77,976.3499999999999,63.61,12-17-2020,21,139592.0,11229.0,746.0
45-64,10770.900000000001,2105.9,438.73999999999995,12-17-2020,21,109137.0,21270.0,4420.0
65-74,4896.53,1949.93,681.28,12-17-2020,21,35196.0,14016.0,4897.0
75+,5479.78,3146.13,1743.2,12-17-2020,21,30775.0,17669.0,9790.0
Citywide,4037.12,780.17,238.33,12-17-2020,21,336567.0,65041.0,19869.0
0-17,4017.3999999999996,164.08999999999997,,12-18-2020,21,21840.0,858.0,
18-44,12585.220000000001,980.56,63.91,12-18-2020,21,141333.0,11275.0,750.0
45-64,10879.97,2113.94,439.24,12-18-2020,21,110242.0,21351.0,4425.0
65-74,4938.26,1960.36,682.95,12-18-2020,21,35496.0,14091.0,4909.0
75+,5517.53,3164.47,1747.83,12-18-2020,21,30987.0,17772.0,9816.0
Citywide,4083.58,783.88,238.89,12-18-2020,21,340441.0,65351.0,19916.0
0-17,4072.46,164.75,,12-19-2020,21,22157.0,861.0,
18-44,12689.739999999998,983.1600000000001,63.41,12-19-2020,21,142490.0,11306.0,745.0
45-64,10955.720000000001,2117.79,439.35,12-19-2020,21,111010.0,21390.0,4426.0
65-74,4970.4,1965.23,683.78,12-19-2020,21,35727.0,14126.0,4915.0
75+,5545.66,3176.58,1751.57,12-19-2020,21,31145.0,17840.0,9837.0
Citywide,4115.17,786.0,239.17,12-19-2020,21,343074.0,65527.0,19939.0
0-17,4124.3099999999995,166.16,,12-20-2020,21,22443.0,868.0,
18-44,12786.86,986.02,62.93,12-20-2020,21,143581.0,11341.0,740.0
45-64,11016.94,2127.01,439.95,12-20-2020,21,111631.0,21483.0,4432.0
65-74,4994.61,1973.58,684.2,12-20-2020,21,35901.0,14186.0,4918.0
75+,5566.14,3189.76,1753.0,12-20-2020,21,31260.0,17914.0,9845.0
Citywide,4142.23,789.22,239.31,12-20-2020,21,345330.0,65796.0,19951.0
0-17,4182.0,166.73,,12-21-2020,21,22769.0,871.0,
18-44,12901.880000000001,987.9599999999999,63.02,12-21-2020,21,144847.0,11364.0,741.0
45-64,11094.369999999999,2134.83,440.64,12-21-2020,21,112416.0,21562.0,4439.0
65-74,5026.19,1981.09,685.31,12-21-2020,21,36128.0,14240.0,4926.0
75+,5593.74,3201.51,1756.02,12-21-2020,21,31415.0,17980.0,9862.0
Citywide,4175.35,791.92,239.71,12-21-2020,21,348091.0,66021.0,19984.0
0-17,4236.98,167.82999999999998,,12-22-2020,22,23076.0,877.0,
18-44,13012.439999999999,991.51,63.02,12-22-2020,22,146075.0,11402.0,741.0
45-64,11170.240000000002,2140.38,441.14,12-22-2020,22,113186.0,21618.0,4444.0
65-74,5057.63,1987.35,686.15,12-22-2020,22,36354.0,14285.0,4932.0
75+,5622.76,3215.22,1757.98,12-22-2020,22,31578.0,18057.0,9873.0
Citywide,4207.65,794.58,239.97,12-22-2020,22,350784.0,66243.0,20006.0
0-17,4311.29,168.01999999999998,,12-23-2020,22,23495.0,878.0,
18-44,13146.490000000002,994.17,63.02,12-23-2020,22,147548.0,11432.0,741.0
45-64,11256.18,2147.7200000000003,441.34000000000003,12-23-2020,22,114058.0,21692.0,4446.0
65-74,5094.36,1993.61,687.26,12-23-2020,22,36618.0,14330.0,4940.0
75+,5652.86,3224.48,1761.9,12-23-2020,22,31747.0,18109.0,9895.0
Citywide,4246.02,797.01,240.36,12-23-2020,22,353983.0,66445.0,20038.0
0-17,4395.48,168.33999999999997,,12-24-2020,22,23981.0,880.0,
18-44,13293.91,996.9399999999999,63.160000000000004,12-24-2020,22,149198.0,11464.0,742.0
45-64,11365.48,2151.98,442.53000000000003,12-24-2020,22,115166.0,21735.0,4458.0
65-74,5134.15,1999.32,688.65,12-24-2020,22,36904.0,14371.0,4950.0
75+,5694.52,3230.89,1765.46,12-24-2020,22,31981.0,18145.0,9915.0
Citywide,4291.19,798.87,240.87,12-24-2020,22,357749.0,66600.0,20081.0
0-17,4395.48,168.33999999999997,,12-24-2020,22,23981.0,880.0,
18-44,13293.91,996.9399999999999,63.160000000000004,12-24-2020,22,149198.0,11464.0,742.0
45-64,11365.48,2151.98,442.53000000000003,12-24-2020,22,115166.0,21735.0,4458.0
65-74,5134.15,1999.32,688.65,12-24-2020,22,36904.0,14371.0,4950.0
75+,5694.52,3230.89,1765.46,12-24-2020,22,31981.0,18145.0,9915.0
Citywide,4291.19,798.87,240.87,12-24-2020,22,357749.0,66600.0,20081.0
0-17,4474.44,168.49,,12-25-2020,22,24431.0,881.0,
18-44,13432.939999999999,1002.78,63.39,12-25-2020,22,150726.0,11531.0,744.0
45-64,11461.349999999999,2165.3,443.13,12-25-2020,22,116138.0,21869.0,4464.0
65-74,5173.38,2012.81,690.32,12-25-2020,22,37186.0,14468.0,4962.0
75+,5733.69,3255.28,1769.2,12-25-2020,22,32201.0,18282.0,9936.0
Citywide,4332.6,804.1,241.36,12-25-2020,22,361201.0,67036.0,20122.0
0-17,4550.379999999999,168.71999999999997,,12-26-2020,22,24864.0,882.0,
18-44,13567.11,1004.9100000000001,63.47,12-26-2020,22,152193.0,11558.0,745.0
45-64,11544.35,2172.73,443.73,12-26-2020,22,116980.0,21944.0,4470.0
65-74,5209.83,2019.77,691.02,12-26-2020,22,37448.0,14518.0,4967.0
75+,5771.8,3269.88,1772.23,12-26-2020,22,32415.0,18364.0,9953.0
Citywide,4371.25,806.91,241.71,12-26-2020,22,364423.0,67271.0,20151.0
0-17,4605.0599999999995,169.68,,12-27-2020,22,25165.0,887.0,
18-44,13670.739999999998,1010.79,63.71,12-27-2020,22,153329.0,11618.0,747.0
45-64,11616.98,2182.35,444.03,12-27-2020,22,117717.0,22041.0,4473.0
65-74,5245.72,2032.43,691.85,12-27-2020,22,37706.0,14609.0,4973.0
75+,5811.33,3289.12,1775.43,12-27-2020,22,32637.0,18472.0,9971.0
Citywide,4403.07,811.24,242.07,12-27-2020,22,367076.0,67632.0,20181.0
0-17,4663.66,169.95,,12-28-2020,22,25506.0,889.0,
18-44,13771.36,1013.83,63.93000000000001,12-28-2020,22,154458.0,11652.0,750.0
45-64,11684.869999999999,2191.57,444.82,12-28-2020,22,118405.0,22134.0,4481.0
65-74,5272.02,2039.94,692.69,12-28-2020,22,37895.0,14663.0,4979.0
75+,5839.82,3304.61,1778.1,12-28-2020,22,32797.0,18559.0,9986.0
Citywide,4433.2,814.48,242.47,12-28-2020,22,369588.0,67902.0,20214.0
0-17,4741.42,170.6,,12-29-2020,22,25936.0,893.0,
18-44,13949.64,1015.6400000000001,64.02,12-29-2020,22,156405.0,11673.0,751.0
45-64,11800.21,2195.44,445.61,12-29-2020,22,119575.0,22173.0,4489.0
65-74,5313.89,2044.67,694.63,12-29-2020,22,38196.0,14697.0,4993.0
75+,5872.05,3312.26,1781.13,12-29-2020,22,32978.0,18602.0,10003.0
Citywide,4481.53,816.17,242.96,12-29-2020,22,373617.0,68043.0,20255.0
0-17,4817.48,171.57999999999998,,12-30-2020,22,26354.0,898.0,
18-44,14090.43,1019.1600000000001,64.28,12-30-2020,22,157956.0,11714.0,754.0
45-64,11893.84,2205.94,445.90999999999997,12-30-2020,22,120525.0,22279.0,4492.0
65-74,5349.79,2055.8,695.61,12-30-2020,22,38454.0,14777.0,5000.0
75+,5905.88,3332.56,1785.94,12-30-2020,22,33168.0,18716.0,10030.0
Citywide,4521.91,820.33,243.44,12-30-2020,22,376983.0,68389.0,20295.0
0-17,4888.75,171.45,,12-31-2020,22,26744.0,897.0,
18-44,14246.18,1020.06,64.28,12-31-2020,22,159662.0,11723.0,754.0
45-64,12003.02,2209.91,447.01,12-31-2020,22,121631.0,22319.0,4503.0
65-74,5403.49,2060.81,696.17,12-31-2020,22,38840.0,14813.0,5004.0
75+,5952.89,3340.93,1789.85,12-31-2020,22,33432.0,18763.0,10052.0
Citywide,4568.1,821.9,243.88,12-31-2020,22,380834.0,68520.0,20332.0
0-17,4993.84,172.92000000000002,,01-01-2021,22,27317.0,906.0,
18-44,14443.57,1025.1,64.4,01-01-2021,22,161850.0,11782.0,755.0
45-64,12130.96,2222.9700000000003,447.71,01-01-2021,22,122927.0,22451.0,4510.0
65-74,5460.25,2074.03,697.42,01-01-2021,22,39248.0,14908.0,5013.0
75+,6012.36,3362.83,1795.55,01-01-2021,22,33766.0,18886.0,10084.0
Citywide,4625.67,826.91,244.47,01-01-2021,22,385634.0,68938.0,20381.0
0-17,5108.38,173.11,,01-02-2021,22,27978.0,907.0,
18-44,14652.79,1027.67,64.33,01-02-2021,22,164165.0,11812.0,754.0
45-64,12264.5,2227.63,448.20000000000005,01-02-2021,22,124281.0,22498.0,4515.0
65-74,5520.77,2079.17,697.97,01-02-2021,22,39683.0,14945.0,5017.0
75+,6061.86,3374.41,1798.76,01-02-2021,22,34044.0,18951.0,10102.0
Citywide,4686.14,829.07,244.78,01-02-2021,22,390675.0,69118.0,20407.0
0-17,5180.37,174.15,,01-03-2021,22,28377.0,912.0,
18-44,14771.11,1032.54,64.33,01-03-2021,22,165460.0,11865.0,754.0
45-64,12341.720000000001,2237.74,448.7,01-03-2021,22,125065.0,22600.0,4520.0
65-74,5555.97,2094.06,698.67,01-03-2021,22,39936.0,15052.0,5022.0
75+,6098.0,3394.35,1801.43,01-03-2021,22,34247.0,19063.0,10117.0
Citywide,4721.37,833.62,245.08,01-03-2021,22,393612.0,69497.0,20432.0
0-17,5248.129999999999,174.15,,01-04-2021,22,28768.0,912.0,
18-44,14888.15,1034.41,64.4,01-04-2021,22,166759.0,11884.0,755.0
45-64,12416.82,2241.32,449.59000000000003,01-04-2021,22,125826.0,22636.0,4529.0
65-74,5590.05,2098.23,699.23,01-04-2021,22,40181.0,15082.0,5026.0
75+,6132.37,3403.79,1803.39,01-04-2021,22,34440.0,19116.0,10128.0
Citywide,4756.06,835.27,245.38,01-04-2021,22,396504.0,69635.0,20457.0
0-17,5331.21,174.95,,01-05-2021,22,29227.0,916.0,
18-44,15052.09,1038.4299999999998,64.4,01-05-2021,22,168550.0,11930.0,755.0
45-64,12531.83,2250.11,449.99,01-05-2021,22,126993.0,22725.0,4533.0
65-74,5635.26,2107.69,700.2,01-05-2021,22,40506.0,15150.0,5033.0
75+,6170.3,3422.13,1806.06,01-05-2021,22,34653.0,19219.0,10143.0
Citywide,4803.51,838.99,245.69,01-05-2021,22,400460.0,69945.0,20483.0
0-17,5412.42,175.26999999999998,,01-06-2021,22,29676.0,918.0,
18-44,15226.6,1039.71,64.4,01-06-2021,22,170466.0,11944.0,755.0
45-64,12643.26,2251.7,450.47999999999996,01-06-2021,22,128123.0,22741.0,4538.0
65-74,5675.89,2110.34,700.62,01-06-2021,22,40798.0,15169.0,5036.0
75+,6203.42,3426.4,1811.22,01-06-2021,22,34839.0,19243.0,10172.0
Citywide,4851.12,839.89,246.14,01-06-2021,22,404429.0,70020.0,20520.0
0-17,5520.77,177.66,,01-07-2021,22,30285.0,930.0,
18-44,15433.380000000001,1046.7199999999998,64.65,01-07-2021,22,172743.0,12028.0,758.0
45-64,12787.869999999999,2271.12,450.88,01-07-2021,22,129590.0,22937.0,4542.0
65-74,5734.74,2129.95,702.43,01-07-2021,22,41221.0,15310.0,5049.0
75+,6256.65,3468.6,1817.1,01-07-2021,22,35138.0,19480.0,10205.0
Citywide,4912.02,847.93,246.78,01-07-2021,22,409506.0,70690.0,20574.0
0-17,5636.82,178.45999999999998,,01-08-2021,22,30932.0,935.0,
18-44,15661.68,1051.35,64.83,01-08-2021,22,175226.0,12080.0,760.0
45-64,12923.57,2277.76,450.78,01-08-2021,22,130967.0,23004.0,4541.0
65-74,5795.39,2136.49,704.23,01-08-2021,22,41657.0,15357.0,5062.0
75+,6308.29,3480.35,1821.9,01-08-2021,22,35428.0,19546.0,10232.0
Citywide,4974.88,850.78,247.28,01-08-2021,22,414747.0,70928.0,20615.0
0-17,5748.01,178.69,,01-09-2021,22,31562.0,936.0,
18-44,15865.37,1053.98,65.12,01-09-2021,22,177453.0,12110.0,763.0
45-64,13052.31,2282.23,451.38,01-09-2021,22,132272.0,23049.0,4547.0
65-74,5843.81,2140.81,705.76,01-09-2021,22,42005.0,15388.0,5073.0
75+,6354.41,3486.76,1826.0,01-09-2021,22,35687.0,19582.0,10255.0
Citywide,5032.1,852.5,247.79,01-09-2021,22,419517.0,71071.0,20658.0
0-17,5865.27,180.9,,01-10-2021,22,32224.0,948.0,
18-44,16080.98,1060.83,65.21000000000001,01-10-2021,22,179786.0,12189.0,764.0
45-64,13187.869999999999,2301.16,452.48,01-10-2021,22,133646.0,23240.0,4558.0
65-74,5898.34,2162.79,707.57,01-10-2021,22,42397.0,15546.0,5086.0
75+,6404.62,3527.54,1832.77,01-10-2021,22,35969.0,19811.0,10293.0
Citywide,5092.62,860.52,248.55,01-10-2021,22,424562.0,71740.0,20721.0
0-17,5971.85,181.45,,01-11-2021,22,32820.0,951.0,
18-44,16263.29,1064.13,65.14,01-11-2021,22,181753.0,12225.0,763.0
45-64,13300.83,2310.25,453.18,01-11-2021,22,134791.0,23332.0,4565.0
65-74,5943.56,2171.97,710.36,01-11-2021,22,42722.0,15612.0,5106.0
75+,6453.05,3544.81,1837.93,01-11-2021,22,36241.0,19908.0,10322.0
Citywide,5144.27,864.05,249.2,01-11-2021,22,428868.0,72034.0,20775.0
0-17,6093.08,183.2,,01-12-2021,22,33500.0,960.0,
18-44,16483.14,1068.7399999999998,65.16,01-12-2021,22,184147.0,12278.0,764.0
45-64,13441.08,2319.16,453.98,01-12-2021,22,136213.0,23422.0,4573.0
65-74,6000.88,2179.9,712.72,01-12-2021,22,43134.0,15669.0,5123.0
75+,6499.53,3565.29,1843.63,01-12-2021,22,36502.0,20023.0,10354.0
Citywide,5206.26,867.93,249.89,01-12-2021,22,434036.0,72358.0,20833.0
0-17,6205.11,183.88,,01-13-2021,22,34121.0,964.0,
18-44,16673.629999999997,1070.78,65.16,01-13-2021,22,186234.0,12301.0,764.0
45-64,13560.73,2323.3999999999996,455.26,01-13-2021,22,137426.0,23465.0,4586.0
65-74,6049.29,2183.79,714.39,01-13-2021,22,43482.0,15697.0,5135.0
75+,6541.91,3570.98,1851.11,01-13-2021,22,36740.0,20055.0,10396.0
Citywide,5260.33,869.49,250.7,01-13-2021,22,438544.0,72488.0,20900.0
0-17,6322.77,185.88,,01-14-2021,22,34801.0,974.0,
18-44,16868.84,1076.71,65.34,01-14-2021,22,188363.0,12369.0,766.0
45-64,13688.779999999999,2339.75,456.95000000000005,01-14-2021,22,138724.0,23630.0,4603.0
65-74,6097.84,2202.02,717.45,01-14-2021,22,43831.0,15828.0,5157.0
75+,6592.12,3605.35,1858.23,01-14-2021,22,37022.0,20248.0,10436.0
Citywide,5317.26,876.29,251.67,01-14-2021,22,443290.0,73055.0,20981.0
0-17,6465.81,186.5,,01-15-2021,22,35627.0,977.0,
18-44,17119.81,1080.35,65.34,01-15-2021,22,191094.0,12410.0,766.0
45-64,13864.26,2346.2,458.14,01-15-2021,22,140503.0,23695.0,4615.0
65-74,6170.47,2207.72,719.26,01-15-2021,22,44353.0,15869.0,5170.0
75+,6656.75,3617.28,1864.1,01-15-2021,22,37385.0,20315.0,10469.0
Citywide,5391.89,878.9,252.35,01-15-2021,22,449512.0,73272.0,21038.0
0-17,6568.22,187.88,,01-16-2021,22,36209.0,985.0,
18-44,17328.489999999998,1088.67,65.25999999999999,01-16-2021,22,193385.0,12506.0,766.0
45-64,14004.11,2366.21,459.43,01-16-2021,22,141921.0,23897.0,4628.0
65-74,6229.04,2230.26,720.51,01-16-2021,22,44774.0,16031.0,5179.0
75+,6711.42,3655.56,1872.65,01-16-2021,22,37692.0,20530.0,10517.0
Citywide,5452.08,887.09,253.19,01-16-2021,22,454530.0,73955.0,21108.0
0-17,6685.07,189.13,,01-17-2021,22,36884.0,992.0,
18-44,17536.79,1094.26,65.43,01-17-2021,22,195648.0,12570.0,768.0
45-64,14135.05,2374.75,460.62,01-17-2021,22,143248.0,23983.0,4640.0
65-74,6287.75,2240.97,722.46,01-17-2021,22,45196.0,16108.0,5193.0
75+,6764.84,3675.15,1877.1,01-17-2021,22,37992.0,20640.0,10542.0
Citywide,5511.91,891.22,253.85,01-17-2021,22,459518.0,74299.0,21163.0
0-17,6791.86,190.73000000000002,,01-18-2021,22,37492.0,1000.0,
18-44,17718.32,1100.42,65.59,01-18-2021,22,197625.0,12638.0,770.0
45-64,14261.029999999999,2390.59,461.32,01-18-2021,22,144526.0,24143.0,4647.0
65-74,6339.92,2253.49,724.96,01-18-2021,22,45571.0,16198.0,5211.0
75+,6814.69,3701.86,1883.51,01-18-2021,22,38272.0,20790.0,10578.0
Citywide,5566.13,896.93,254.61,01-18-2021,22,464038.0,74775.0,21226.0
0-17,6902.87,191.31,,01-19-2021,23,38114.0,1003.0,
18-44,17902.63,1104.31,65.68,01-19-2021,23,199621.0,12684.0,771.0
45-64,14386.04,2401.3,461.72,01-19-2021,23,145793.0,24251.0,4651.0
65-74,6393.9,2265.88,726.63,01-19-2021,23,45959.0,16287.0,5223.0
75+,6857.07,3721.8,1889.21,01-19-2021,23,38510.0,20902.0,10610.0
Citywide,5620.21,901.22,255.19,01-19-2021,23,468547.0,75133.0,21275.0
0-17,6988.25,192.2,,01-20-2021,23,38589.0,1008.0,
18-44,18052.190000000002,1108.37,65.92,01-20-2021,23,201255.0,12727.0,774.0
45-64,14482.65,2412.97,462.81,01-20-2021,23,146772.0,24369.0,4662.0
65-74,6432.85,2277.28,728.44,01-20-2021,23,46239.0,16369.0,5236.0
75+,6892.15,3744.95,1897.05,01-20-2021,23,38707.0,21032.0,10654.0
Citywide,5663.05,905.75,256.04,01-20-2021,23,472118.0,75511.0,21346.0
0-17,7085.76,193.35000000000002,,01-21-2021,23,39132.0,1015.0,
18-44,18222.99,1114.48,66.00999999999999,01-21-2021,23,203094.0,12796.0,775.0
45-64,14598.939999999999,2427.94,463.8,01-21-2021,23,147951.0,24520.0,4672.0
65-74,6489.33,2293.84,731.22,01-21-2021,23,46645.0,16488.0,5256.0
75+,6948.42,3778.42,1906.66,01-21-2021,23,39023.0,21220.0,10708.0
Citywide,5714.42,912.15,257.06,01-21-2021,23,476401.0,76044.0,21431.0
0-17,7203.540000000001,195.38,,01-22-2021,23,39798.0,1026.0,
18-44,18426.239999999998,1118.54,66.08,01-22-2021,23,205305.0,12841.0,776.0
45-64,14745.8,2437.45,464.81,01-22-2021,23,149439.0,24616.0,4682.0
65-74,6550.13,2304.13,732.89,01-22-2021,23,47082.0,16562.0,5268.0
75+,7005.57,3797.65,1913.43,01-22-2021,23,39344.0,21328.0,10746.0
Citywide,5775.92,916.17,257.8,01-22-2021,23,481528.0,76379.0,21492.0
0-17,7309.209999999999,196.45,,01-23-2021,23,40402.0,1032.0,
18-44,18629.13,1122.66,66.37,01-23-2021,23,207508.0,12888.0,779.0
45-64,14877.990000000002,2449.45,466.0,01-23-2021,23,150780.0,24737.0,4694.0
65-74,6605.92,2316.93,735.12,01-23-2021,23,47483.0,16654.0,5284.0
75+,7057.57,3820.8,1920.37,01-23-2021,23,39636.0,21458.0,10785.0
Citywide,5834.03,920.92,258.64,01-23-2021,23,486372.0,76775.0,21562.0
0-17,7431.04,198.39,,01-24-2021,23,41107.0,1043.0,
18-44,18841.68,1126.24,66.6,01-24-2021,23,209825.0,12931.0,781.0
45-64,15013.279999999999,2461.63,466.78999999999996,01-24-2021,23,152152.0,24860.0,4702.0
65-74,6664.21,2329.59,736.93,01-24-2021,23,47902.0,16745.0,5297.0
75+,7113.48,3846.62,1928.56,01-24-2021,23,39950.0,21603.0,10831.0
Citywide,5895.56,925.87,259.46,01-24-2021,23,491502.0,77188.0,21631.0
0-17,7524.639999999999,199.98,,01-25-2021,23,41638.0,1051.0,
18-44,19005.07,1131.19,66.6,01-25-2021,23,211568.0,12986.0,781.0
45-64,15127.529999999999,2471.05,467.58,01-25-2021,23,153310.0,24955.0,4710.0
65-74,6717.77,2341.98,739.29,01-25-2021,23,48287.0,16834.0,5314.0
75+,7161.02,3864.96,1936.04,01-25-2021,23,40217.0,21706.0,10873.0
Citywide,5944.57,930.07,260.28,01-25-2021,23,495588.0,77538.0,21699.0
0-17,7627.63,201.45,,01-26-2021,23,42209.0,1059.0,
18-44,19164.82,1135.16,66.84,01-26-2021,23,213304.0,13034.0,784.0
45-64,15236.1,2482.75,468.27,01-26-2021,23,154411.0,25073.0,4717.0
65-74,6766.32,2352.69,740.68,01-26-2021,23,48636.0,16911.0,5324.0
75+,7201.26,3883.66,1940.85,01-26-2021,23,40443.0,21811.0,10900.0
Citywide,5992.33,934.34,260.84,01-26-2021,23,499570.0,77894.0,21746.0
0-17,7697.13,202.24,,01-27-2021,23,42607.0,1063.0,
18-44,19286.17,1137.0700000000002,67.0,01-27-2021,23,214642.0,13058.0,786.0
45-64,15319.35,2487.2,468.67,01-27-2021,23,155255.0,25118.0,4721.0
65-74,6801.38,2357.97,742.91,01-27-2021,23,48888.0,16949.0,5340.0
75+,7233.13,3893.81,1949.75,01-27-2021,23,40622.0,21868.0,10950.0
Citywide,6028.48,936.36,261.71,01-27-2021,23,502583.0,78063.0,21818.0
0-17,7817.0,203.28,,01-28-2021,23,43274.0,1068.0,
18-44,19484.3,1141.17,67.24000000000001,01-28-2021,23,216810.0,13103.0,789.0
45-64,15455.91,2494.93,470.25,01-28-2021,23,156640.0,25196.0,4737.0
65-74,6860.79,2367.16,745.55,01-28-2021,23,49315.0,17015.0,5359.0
75+,7289.4,3907.69,1954.92,01-28-2021,23,40938.0,21946.0,10979.0
Citywide,6088.02,939.63,262.51,01-28-2021,23,507547.0,78335.0,21885.0
0-17,7930.56,204.79,,01-29-2021,23,43926.0,1077.0,
18-44,19678.71,1151.4099999999999,67.41,01-29-2021,23,218937.0,13218.0,791.0
45-64,15585.8,2512.7599999999998,471.94,01-29-2021,23,157956.0,25376.0,4754.0
65-74,6917.97,2390.39,748.89,01-29-2021,23,49726.0,17182.0,5383.0
75+,7336.23,3943.31,1962.57,01-29-2021,23,41201.0,22146.0,11022.0
Citywide,6145.28,947.66,263.55,01-29-2021,23,512321.0,79005.0,21972.0
0-17,8059.81,205.21,,01-30-2021,23,44670.0,1079.0,
18-44,19890.37,1155.4499999999998,67.5,01-30-2021,23,221254.0,13265.0,792.0
45-64,15728.61,2523.56,473.62,01-30-2021,23,159404.0,25485.0,4771.0
65-74,6976.54,2402.91,751.54,01-30-2021,23,50147.0,17272.0,5402.0
75+,7389.47,3965.74,1971.83,01-30-2021,23,41500.0,22272.0,11074.0
Citywide,6208.0,952.15,264.62,01-30-2021,23,517550.0,79379.0,22061.0
0-17,8170.23,206.57999999999998,,01-31-2021,23,45292.0,1086.0,
18-44,20078.899999999998,1158.5900000000001,67.59,01-31-2021,23,223287.0,13302.0,793.0
45-64,15847.61,2535.36,475.02000000000004,01-31-2021,23,160611.0,25604.0,4785.0
65-74,7026.34,2412.23,754.04,01-31-2021,23,50505.0,17339.0,5420.0
75+,7435.23,3985.15,1980.2,01-31-2021,23,41757.0,22381.0,11121.0
Citywide,6262.38,956.22,265.58,01-31-2021,23,522083.0,79718.0,22141.0
0-17,8263.17,206.92,,02-01-2021,23,45828.0,1088.0,
18-44,20207.72,1160.6,67.68,02-01-2021,23,224684.0,13326.0,794.0
45-64,15941.19,2540.1000000000004,476.51,02-01-2021,23,161559.0,25652.0,4800.0
65-74,7067.11,2418.35,756.82,02-01-2021,23,50798.0,17383.0,5440.0
75+,7477.43,3995.12,1989.81,02-01-2021,23,41994.0,22437.0,11175.0
Citywide,6302.86,958.3,266.66,02-01-2021,23,525458.0,79892.0,22231.0
